mcu,pin,function,alias
STM32F303K8Tx,PA7,OPAMP2_VINP,OPAMP_VINP
STM32F303K8Tx,PA7,OPAMP2_VINP_SEC,OPAMP_VINP_SEC
STM32F303K8Tx,PA7,SPI1_MOSI,SPI_MOSI
STM32F303K8Tx,PA7,TIM17_CH1,TIM_CH
STM32F303K8Tx,PA7,TIM1_CH1N,TIM_CHN
STM32F303K8Tx,PA7,TIM3_CH2,TIM_CH
STM32F303K8Tx,PA7,TSC_G2_IO4,TSC_G_IO
STM32F303K8Tx,PA7,GPIO_Input,GPIO_Input
STM32F303K8Tx,PA7,GPIO_Output,GPIO_Output
STM32F303K8Tx,PA7,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PA7,EVENTOUT,EVENTOUT
STM32F303K8Tx,PA7,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB0,ADC1_IN11,ADC_IN
STM32F303K8Tx,PB0,COMP4_INP,COMP_INP
STM32F303K8Tx,PB0,OPAMP2_VINP,OPAMP_VINP
STM32F303K8Tx,PB0,OPAMP2_VINP_SEC,OPAMP_VINP_SEC
STM32F303K8Tx,PB0,TIM1_CH2N,TIM_CHN
STM32F303K8Tx,PB0,TIM3_CH3,TIM_CH
STM32F303K8Tx,PB0,TSC_G3_IO2,TSC_G_IO
STM32F303K8Tx,PB0,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB0,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB0,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB0,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB0,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PB1,ADC1_IN12,ADC_IN
STM32F303K8Tx,PB1,COMP4_OUT,COMP_OUT
STM32F303K8Tx,PB1,TIM1_CH3N,TIM_CHN
STM32F303K8Tx,PB1,TIM3_CH4,TIM_CH
STM32F303K8Tx,PB1,TSC_G3_IO3,TSC_G_IO
STM32F303K8Tx,PB1,GPIO_Input,GPIO_Input
STM32F303K8Tx,PB1,GPIO_Output,GPIO_Output
STM32F303K8Tx,PB1,GPIO_Analog,GPIO_Analog
STM32F303K8Tx,PB1,EVENTOUT,EVENTOUT
STM32F303K8Tx,PB1,GPIO_EXTI,GPIO_EXTI
STM32F303K8Tx,PA8,RCC_MCO,RCC_MCO
STM32F303K8Tx,PA8,TIM1_CH1,TIM_CH
STM32F303K8Tx,PA8,USART1_CK,USART_CK
